string	classification	correction
question	i	
Mom	s	
Ed	s	
BEN	s	
MARIA	s	
LUCY	s	
Ian	s	
VERNE	s	
CARRIE	s	
SANTORUM	s	
CARLOS	s	
TRANSLATOR	s	
MYERS	s	
Daughter	s	
WILL	s	
DICK	s	
GUY	s	
FINEMAN	s	
DANA	s	
LEO	s	
PHILIP	s	
Elen	s	
KEVIN	s	
MARY	s	
EAN	s	
N	s	
Alan	s	
JENNIFER	s	
ELMER	s	
TRUMP	s	
BASH	s	
QUOTE	i	
JEA	s	
NNA	s	
SN	s	
JESSE	s	
MOLLY	s	
Arthur	s	
Ali	s	
ADAM	s	
RONNY	s	
Moderator	s	
LARRY	s	
TRANSLATION	s	
Martha	s	
HEART	s	
CURTIS	s	
Jennifer	s	
DARSHA	s	
Kirk	s	
EMPLOYEE	s	
ADRIENNE	s	
Brad	s	
MUSIC	m	
Rick	s	
Heather	s	
CARSON	s	
REBECCA	s	
MAJOR	s	
THIS	i	
STATES	s	
Music	i	
Imus	s	
JAIME	s	
Kelly	s	
Dale	s	
Ainsley	s	
CAIN	s	
ANDREW	s	
MCCAIN	s	
SIMON	s	
Howie	s	
man	s	
GRANDFATHER	s	
EMERIL	s	
CLARK	s	
INGREDIENTS	s	
GIRL	s	
Julie	s	
Brangham	s	
TONY	s	
PIGGY	s	
Kenny	s	
ENGINEER	s	
BREE	s	
all	s	
Flo	s	
SID	s	
EXEC	s	
Brent	s	
Captain	s	
Cowan	s	
Rooney	s	
Charles	s	
JULIA	s	
MATT	s	
Jack	s	
SUBHA	s	
COLLEEN	s	
SPOKESPERSON	s	
Johnson	s	
Cleto	s	
FEYERICK	s	
Luke	s	
CAT	s	
Annocer	s	Announcer
Will	s	
ROBERT	s	
RETA	s	
RIC	s	
Hunt	s	
Reggie	s	
EILEEN	s	
GRE	s	GRETA
JERAS	s	
MARCIANO	s	
DANIEL	s	
JENNIE	s	
MARIO	s	
CLIENT	s	
GERGEN	s	
Burkhardt	s	
Gupta	s	
JASON	s	
CROWD	s	
HARLOW	s	
Rodriguez	s	
NERMEEN	s	
ABBY	s	
RON	s	
WATSON	s	
host	s	
THOMPSON	s	
LL	s	
hepard	s	Shepard
GTA	s	GRETA
RICHARD	s	
Sherd	s	Shepard
DIANE	s	
Keteyian	s	
TED	s	
WAYNE	s	
Ste	s	Steve
Bartender	s	
ANGELINE	s	
Stephanie	s	
LETICIA	s	
Tariq	s	
Tiffani	s	
JONES	s	
ONE	i	
RUSSELL	s	
Doug	s	
Spard	s	Shepard
Neil	s	
WEDEMAN	s	
RUSHKOFF	s	
BOB	s	
Todd	s	
HOSTIN	s	
KATE	s	
Bri	s	
rian	s	
ANABEL	s	
INTERVIEWER	s	
CANDIDATE	s	
woman	s	
Daniel	s	
teve	s	Steve
Terry	s	
MEGAN	s	
Chipmunk	s	
BI	s	
TWO	i	
STEWART	s	
CARVILLE	s	
ANCR	s	ANNOUNCER
Sve	s	Steve
JOAN	s	
Strieker	s	
MATTHEW	s	
ALLEN	s	
MARCY	s	
Girls	s	
GWEN	s	
Romney	s	
BROWN	s	
Nicole	s	
BOLDUAN	s	
KRISTINE	s	
Kids	s	
WATCHING	i	
retchen	s	Gretchen
Owen	s	
SYLVESTER	s	
Ryan	s	
ANALYST	s	
LIFELOCK	s	
WILLIAMS	s	
MIRIAM	s	
LIPTON	s	
Shepa	s	Shepard
ALL	s	
CAVEMAN	s	
CAMERON	s	
DOMINICK	s	
KARA	s	
Sal	s	
Ban	s	
Hero	s	
HUSBAND	s	
ROBERTSON	s	
Victor	s	
Child	s	
Sharon	s	
PASSENGER	s	
Ray	s	
both	s	
Zeeter	s	
Sami	s	
BRANDI	s	
JUDD	s	
ROBINSON	s	
UNIDENTIFIED	s	
Ron	s	
ANNE	s	
Multo	s	
MOYERS	s	
Men	s	
PALIN	s	
Shard	s	Shepard
BROWNSTEIN	s	
PLUS	s	
BILLY	s	
CHRISTIAN	s	
ERIKA	s	
LIKE	i	
Chelsea	s	
NICOLE	s	
Alfonsi	s	
Shepd	s	Shepard
Colbert	s	
Gerri	s	
Jeremiah	s	
PAGE	s	
epard	s	Shepard
KERRI	s	
Grehen	s	
Son	s	
Bula	s	
KOSIK	s	
Tucker	s	
KRISTEN	s	
Gretcn	s	Gretchen
Piers	s	
RIVERS	s	
MAHA	s	
Crowd	s	
CAPTAIN	s	
MART	s	
HUTCHINSON	s	
Dylan	s	
TYSON	s	
REFEREE	s	
Waitress	s	
ROTELLA	s	
SB	s	
MAX	s	
KEILAR	s	
BERNADETTE	s	
Victoria	s	
TUCKER	s	
Ward	s	
RTHA	s	MARTHA
MCMAHON	s	
LYON	s	
GPS	s	
GIULIANI	s	
Troy	s	
STARR	s	
JC	s	
Meredith	s	
Call	s	
JACKSON	s	
Howard	s	
KUNAL	s	
Gtchen	s	Gretchen
CLARENCE	s	
ALEX	s	
GAVIN	s	
Song	s	
SNOW	s	
CHARLES	s	
narrator	s	
B	s	
MARIANNE	s	
MIA	s	
Williams	s	
SUSIE	s	
CHEF	s	
Daly	s	
Dubois	s	
JACK	s	
Assuras	s	
GENIE	s	
Jason	s	
nounr	s	Announcer
WIFE	s	
Lisa	s	
GIBBS	s	
NYQUIL	i	
GRILL	s	
ob	s	
LIZ	s	
BETH	s	
WALSH	s	
Bo	s	
Tracy	s	
SCHULTZ	s	
ELAM	s	
ELEANOR	s	
ROBERTS	s	
Trump	s	
FOLLOWING	i	
Seagulls	s	
anncr	s	Announcer
